Scientific_Name,ScientificName,CommonName,Data_Type,Classification,Targeted_Broad
white_seabass,white seabass,white seabass,Count,Fish,Targeted
plain_cardinalfish,plain cardinalfish,plain cardinalfish,Count,Fish,Non-targeted
giant_black_sea_bass,giant black sea bass,giant black sea bass,Count,Fish,Non-targeted
leopard_shark,leopard shark,leopard shark,Count,Fish,Targeted
Pacific_angel_shark,Pacific angel shark,Pacific angel shark,Count,Fish,Targeted
ronquil_spp.,ronquil spp.,ronquil spp.,Count,Fish,Non-targeted
California_halibut,California halibut,California halibut,Count,Fish,Targeted
stripedfin_ronquil,stripedfin ronquil,stripedfin ronquil,Count,Fish,Non-targeted
swallowtail_damselfish,swallowtail damselfish,swallowtail damselfish,Count,Fish,Non-targeted
clingfish_spp.,clingfish spp.,clingfish spp.,Count,Fish,Non-targeted
vermillion_rockfish,vermillion rockfish,vermillion rockfish,Count,Fish,Targeted
wolf_eel,wolf eel,wolf eel,Count,Fish,Targeted
broadnose_sevengill_shark,broadnose sevengill shark,broadnose sevengill shark,Count,Fish,Non-targeted
sanddab_spp.,sanddab spp.,sanddab spp.,Count,Fish,Targeted
Pacific_bonito,Pacific bonito,Pacific bonito,Count,Fish,Targeted
plainfin_midshipman,plainfin midshipman,plainfin midshipman,Count,Fish,Non-targeted
sarcastic_fringehead,sarcastic fringehead,sarcastic fringehead,Count,Fish,Non-targeted
walleye_surfperch,walleye surfperch,walleye surfperch,Count,Fish,Non-targeted
ocean_sunfish,ocean sunfish,ocean sunfish,Count,Fish,Non-targeted
Crassedoma_giganteum,Crassedoma giganteum,rock scallop,Biomass,Invertebrates,Targeted
Haliotis_rufescens,Haliotis rufescens,red abalone,Biomass,Invertebrates,Targeted
Kelletia_kelletii,Kelletia kelletii,Kellet's whelk,Biomass,Invertebrates,Targeted
Lithopoma_gibberosa,Lithopoma gibberosa,red turban snail,Biomass,Invertebrates,Targeted
Lophogorgia_chilensis,Lophogorgia chilensis,red gorgonian,Biomass,Invertebrates,Non-targeted
Lytechinus_anamesus,Lytechinus anamesus,white sea urchin,Biomass,Invertebrates,Non-targeted
Macrocystis_pyrifera,Macrocystis pyrifera,giant kelp,Biomass,Algae,Targeted
Megastraea_undosa,Megastraea undosa,wavy turban snail,Biomass,Invertebrates,Targeted
Megathura_crenulata,Megathura crenulata,giant keyhole limpet,Biomass,Invertebrates,Non-targeted
Muricea_californica,Muricea californica,California golden gorgonian,Biomass,Invertebrates,Non-targeted
Muricea_fruticosa,Muricea fruticosa,brown gorgonian,Biomass,Invertebrates,Non-targeted
Patiria_miniata,Patiria miniata,bat star,Biomass,Invertebrates,Non-targeted
Pisaster_giganteus,Pisaster giganteus,giant-spined sea star,Biomass,Invertebrates,Non-targeted
Pycnopodia_helianthoides,Pycnopodia helianthoides,sunflower star,Biomass,Invertebrates,Non-targeted
Strongylocentrotus_franciscanus,Strongylocentrotus franciscanus,red sea urchin,Biomass,Invertebrates,Targeted
Strongylocentrotus_purpuratus,Strongylocentrotus purpuratus,purple sea urchin,Biomass,Invertebrates,Non-targeted
Tegula_regina,Tegula regina,queen tegula,Biomass,Invertebrates,Non-targeted
Tethya_aurantia,Tethya aurantia,orange puffball sponge,Biomass,Invertebrates,Non-targeted
black_and_yellow_rockfish,black and yellow rockfish,black and yellow rockfish,Biomass,Fish,Targeted
black_surfperch,black surfperch,black surfperch,Biomass,Fish,Non-targeted
blacksmith,blacksmith,blacksmith,Biomass,Fish,Non-targeted
blue_rockfish,blue rockfish,blue rockfish,Biomass,Fish,Targeted
cabezon,cabezon,cabezon,Biomass,Fish,Targeted
California_scorpionfish,California scorpionfish,California scorpionfish,Biomass,Fish,Non-targeted
California_sheephead_female,California sheephead female,California sheephead female,Biomass,Fish,Targeted
California_sheephead_male,California sheephead male,California sheephead male,Biomass,Fish,Targeted
garibaldi,garibaldi,garibaldi,Biomass,Fish,Non-targeted
halfmoon,halfmoon,halfmoon,Biomass,Fish,Non-targeted
kelp_bass,kelp bass,kelp bass,Biomass,Fish,Targeted
kelp_rockfish,kelp rockfish,kelp rockfish,Biomass,Fish,Targeted
lingcod,lingcod,lingcod,Biomass,Fish,Targeted
ocean_whitefish,ocean whitefish,ocean whitefish,Biomass,Fish,Targeted
olive_rockfish,olive rockfish,olive rockfish,Biomass,Fish,Targeted
opaleye,opaleye,opaleye,Biomass,Fish,Non-targeted
pile_perch,pile perch,pile perch,Biomass,Fish,Targeted
rock_wrasse_female,rock wrasse female,rock wrasse female,Biomass,Fish,Non-targeted
rock_wrasse_male,rock wrasse male,rock wrasse male,Biomass,Fish,Non-targeted
rubberlip_surfperch,rubberlip surfperch,rubberlip surfperch,Biomass,Fish,Non-targeted
senorita,senorita,senorita,Biomass,Fish,Non-targeted
striped_surfperch,striped surfperch,striped surfperch,Biomass,Fish,Targeted
treefish,treefish,treefish,Biomass,Fish,Targeted
Shannon_Index,Shannon Index,Shannon Index,Index,Calculated Value,Calculated Value
Simpson_Index,Simpson Index,Simpson Index,Index,Calculated Value,Calculated Value
